GPU Memory Track | 30-Apr-23-11:05:15 | Total Tensor Used Memory:376.7  Mb Total Allocated Memory:422.0  Mb

+ | 9 * Size:()                   | Memory: 3.4332 M | <class 'torch.Tensor'> | torch.float32
+ | 79 * Size:(128, 512)           | Memory: 19.75 M | <class 'torch.Tensor'> | torch.float32
+ | 316 * Size:(128, 128, 16, 16)   | Memory: 5056.0 M | <class 'torch.Tensor'> | torch.float32
+ | 395 * Size:(128, 64, 32, 32)    | Memory: 12640. M | <class 'torch.Tensor'> | torch.float32
- | 78 * Size:(128, 512)           | Memory: 19.5 M | <class 'torch.Tensor'> | torch.float32
- | 234 * Size:(128, 512, 4, 4)     | Memory: 936.0 M | <class 'torch.Tensor'> | torch.float32
- | 79 * Size:(128, 3, 32, 32)     | Memory: 118.5 M | <class 'torch.Tensor'> | torch.float32
- | 390 * Size:(128, 64, 32, 32)    | Memory: 12480. M | <class 'torch.Tensor'> | torch.float32
- | 312 * Size:(128, 128, 16, 16)   | Memory: 4992.0 M | <class 'torch.Tensor'> | torch.float32
- | 78 * Size:(128, 512, 1, 1)     | Memory: 19.5 M | <class 'torch.Tensor'> | torch.float32
- | 312 * Size:(128, 256, 8, 8)     | Memory: 2496.0 M | <class 'torch.Tensor'> | torch.float32

At ./trainer/trainer.py line 116: forward             Total Tensor Used Memory:21479.5Mb Total Allocated Memory:21501.0Mb

